Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
NGC4157_rotmod,476.7072661221306,482.7072661221306,485.20690615429925,99880198467.73564,7.238518059387303,3956.451614259799,95.27275053557386,103.27275053557386,106.60560391179872,1467.8346540396226,1473.8346540396226,1476.3342940717912,LCDM
NGC4389_rotmod,121.16547258386845,127.16547258386845,126.54075099155261,22067181935.923,18.463721692709512,5056.3116910581675,124.27792239650198,132.277922396502,131.4449602734142,139.96745492139254,145.96745492139254,145.3427333290767,Quaternionic
NGC7814_rotmod,1503.2837946996792,1509.2837946996792,1511.9549099733676,99972385192.54926,3.6871001131180816,5256.659361910721,6.411755413161803,14.411755413161803,17.97324244474646,1067.2601809822597,1073.2601809822597,1075.9312962559482,LCDM
UGC07608_rotmod,59.58483721812998,65.58483721812998,65.82316184316949,10309192487.398243,17.406366167539147,5029.399445202645,69.75976001834603,77.75976001834603,78.07752618506537,424.9967641725772,430.9967641725772,431.2350887976167,Quaternionic
UGC10310_rotmod,61.47681563527367,67.47681563527367,67.3145460824396,18561361810.00805,18.53875450682698,5029.208550012263,62.14327494143398,70.14327494143399,69.92691553765523,1154.008099324255,1160.008099324255,1159.845829771421,Quaternionic
F567-2_rotmod,8.231111429507902,14.231111429507902,13.059425166810202,8577792967.8472,15.974659195146785,5063.980255957079,9.309253474645411,17.30925347464541,15.747005124381811,1065.8304719804696,1071.8304719804696,1070.658785717772,Quaternionic
NGC3726_rotmod,283.42502219498584,289.42502219498584,290.87974214434985,99557767087.56299,13.513139954721302,4848.2015403957375,139.98753057646812,147.98753057646812,149.92715717562012,2117.7600153114663,2123.7600153114663,2125.2147352608304,LCDM
NGC4013_rotmod,1283.6297706575442,1289.6297706575442,1294.3803274729125,99955308994.32489,5.7651014457385905,5015.55904554984,83.8535685316033,91.8535685316033,98.18764428542774,12237.942024106671,12243.942024106671,12248.69258092204,LCDM
UGC05005_rotmod,132.9769873338098,138.9769873338098,140.17067315220493,24005690448.467987,19.36960227893549,4895.5750381691305,116.3933823084086,124.3933823084086,125.9849633996021,1934.774413366814,1940.774413366814,1941.9680991852092,LCDM
UGC04483_rotmod,871.7488211005867,877.7488211005867,877.9871457256262,10716084.485028539,2.9713817455064517,0.049082322098446,518.5191444776397,526.5191444776397,526.836910644359,7509.269105825672,7515.269105825672,7515.507430450712,LCDM
UGC02885_rotmod,4003.4045951099642,4009.4045951099642,4012.2379120474634,360958665722.70215,3.0966038240764693,0.05076372324644027,23395.16042192612,23403.16042192612,23406.938177842785,20027.31891325681,20033.31891325681,20036.15223019431,Quaternionic
UGC07866_rotmod,19.808000338681392,25.808000338681392,25.64573078584733,2292351551.551269,15.808448643020235,5145.590792800434,69.06002684293169,77.06002684293169,76.84366743915294,916.5640450580319,922.5640450580319,922.4017755051979,Quaternionic
NGC4214_rotmod,27.51897212481704,33.51897212481704,35.43614411366281,25235905191.834415,18.116795243891502,4841.2918338913805,40.83906393430718,48.83906393430718,51.39529325276821,313.89302998308153,319.89302998308153,321.8102019719273,Quaternionic
UGC07232_rotmod,39.59867667398187,45.59867667398187,43.75755975734154,3236426993.142371,14.865271205234075,5054.044175764681,104.9878006578555,112.9878006578555,110.53297810233506,174.2059159013671,180.2059159013671,178.36479898472678,Quaternionic
NGC1003_rotmod,2094.0839590432643,2100.0839590432643,2104.8345158586326,68101722655.08606,19.982599139732358,5202.40662766226,1179.9870303179216,1187.9870303179216,1194.321106071746,145104.44376645063,145110.44376645063,145115.19432326598,LCDM
UGC06917_rotmod,238.88396678620606,244.88396678620606,246.07765260460118,44141302525.50496,19.603091077193472,4956.123829367623,209.23419457103392,217.23419457103392,218.82577566222741,1950.403976975048,1956.403976975048,1957.597662793443,LCDM
F571-8_rotmod,1113.419278401498,1119.419278401498,1121.1141264738826,48690148368.19266,19.87924855451085,5223.519011260387,1047.347539913979,1055.347539913979,1057.6073373438253,1146.4350303082376,1152.4350303082376,1154.1298783806221,LCDM
UGC07261_rotmod,26.274178572116384,32.274178572116384,32.11190901928232,20321452420.694168,17.779779138053954,4931.847058873313,27.64933125936745,35.64933125936745,35.432971855588704,614.5684886487369,620.5684886487369,620.4062190959029,Quaternionic
NGC6946_rotmod,3514.9109576043875,3520.9109576043875,3527.0922866360265,99964336149.82465,11.631329354023864,5011.278701584084,1618.1473933283762,1626.1473933283762,1634.3891653705618,6030.512860572369,6036.512860572369,6042.694189604009,LCDM
NGC4183_rotmod,267.90208228359836,273.90208228359836,277.30856493138583,61872336119.9309,19.821392711247277,4986.807266169877,196.59181120434664,204.59181120434664,209.13378806806324,7189.516425234727,7195.516425234727,7198.922907882514,LCDM
NGC3949_rotmod,38.96430767677102,44.96430767677102,44.80203812393696,92434825867.5335,17.12969819140077,5125.473122606021,34.45289759031228,42.45289759031228,42.23653818653354,10.725526718795823,16.725526718795823,16.563257165961762,MOND
UGC05716_rotmod,1515.1306588025802,1521.1306588025802,1522.5853787519443,21525108214.37889,19.956166793354754,4927.44765531514,1245.9792513673437,1253.9792513673437,1255.9188779664958,145053.12750629018,145059.12750629018,145060.58222623955,LCDM
UGC07089_rotmod,177.66668809199012,183.66668809199012,185.12140804135413,14999316719.852837,19.18482111587851,4776.931198275752,180.05395629418564,188.05395629418564,189.99358289333765,2708.8144416497876,2714.8144416497876,2716.2691615991516,Quaternionic
NGC0247_rotmod,3180.4656451705023,3186.4656451705023,3190.2399347845667,19703661702.924194,19.942427963017447,5259.529822058057,3129.6523111166202,3137.6523111166202,3142.6846972687063,21175.74752700912,21181.74752700912,21185.521816623186,LCDM
PGC51017_rotmod,0.23870594318803956,6.238705943188039,5.6139843508722045,1235924426.7904592,13.73025865989848,4671.531315424274,26.058459109383016,34.058459109383016,33.225496986295234,7797.702585100666,7803.702585100666,7803.07786350835,Quaternionic
ESO116-G012_rotmod,1618.1862464036149,1624.1862464036149,1626.3103970069214,44145688978.633766,19.911147901423483,5239.814123492179,1588.057514700798,1596.057514700798,1598.8897155052068,4396.594906778597,4402.594906778597,4404.719057381903,LCDM
D631-7_rotmod,893.7181450737576,899.7181450737576,902.0359112404769,7305330635.08161,19.70074588844196,5380.541830384651,1190.0484665590052,1198.0484665590052,1201.1388214479643,15910.250904112341,15916.250904112341,15918.56867027906,Quaternionic
F563-V2_rotmod,158.64211424045143,164.64211424045143,165.54986951943357,20891765386.820026,18.656309111229035,4746.390163962897,173.81574061076552,181.81574061076552,183.0260809827417,98.43468244456837,104.43468244456837,105.3424377235505,MOND
NGC2841_rotmod,29981.638052538423,29987.638052538423,29993.37412155471,170727665204.28345,2.9011048385415434,0.0476789768473473,647.3057041063673,655.3057041063673,662.95379612808,20696.198320833486,20702.198320833486,20707.934389849772,LCDM
NGC0891_rotmod,2302.5650842347563,2308.5650842347563,2311.2361995084448,131998924105.4202,3.1841155275428745,0.052751592182789755,39.33424101902,47.33424101902,50.89572805060466,1025.4975745360352,1031.4975745360352,1034.1686898097237,LCDM
UGC03580_rotmod,5980.797681732086,5986.797681732086,5992.348124537216,62041970679.03934,19.992257506367572,5474.836654192513,4240.311571988758,4248.311571988758,4255.712162395598,81578.29860351156,81584.29860351156,81589.8490463167,LCDM
F561-1_rotmod,12.21640259585369,18.21640259585369,17.591681003537857,9807123284.429768,17.037047975902908,5041.957933268904,12.680852214488947,20.680852214488947,19.84789009140117,2351.242699478398,2357.242699478398,2356.6179778860824,Quaternionic
NGC3109_rotmod,3059.2302698581902,3065.2302698581902,3068.886897332795,4065888686.711452,19.84979721619076,4778.299968165147,4643.056929035363,4651.056929035363,4655.932432334836,19478.507186956187,19484.507186956187,19488.16381443079,Quaternionic
NGC5371_rotmod,13858.791109730186,13864.791109730186,13867.624426667686,278954035666.19916,2.97728393738353,0.05109066919193021,174310.3087822808,174318.3087822808,174322.08653819747,91977.5466400898,91983.5466400898,91986.3799570273,Quaternionic
UGC07125_rotmod,310.43695723550763,316.43695723550763,318.13180530789225,18945321360.9744,19.79307248187082,4913.772850501453,255.21660344653324,263.2166034465332,265.4764008763794,37570.928825059505,37576.928825059505,37578.62367313189,LCDM
DDO168_rotmod,574.3455988482568,580.3455988482568,581.2533541272389,7858142495.905362,19.394036338054768,5098.953211463464,721.5595451388292,729.5595451388292,730.7698855108054,8764.525020749004,8770.525020749004,8771.432776027987,Quaternionic
UGC05918_rotmod,44.233023937145674,50.233023937145674,50.471348562185185,5329222388.358035,17.470729612054637,4871.817454088225,71.18666176637223,79.18666176637223,79.50442793309156,1921.5741394085053,1927.5741394085053,1927.8124640335448,Quaternionic
F574-2_rotmod,7.350682366659953,13.350682366659953,12.178996103962254,3936667812.300289,15.705042863926526,5016.281097851352,8.776368485634714,16.776368485634713,15.214120135371115,1135.8224027171013,1141.8224027171013,1140.6507164544037,Quaternionic
UGCA444_rotmod,1404.9659987631373,1410.9659987631373,1415.7165555785057,8178278.033022374,2.9197984650763606,0.05190731655285179,1097.1931838027838,1105.1931838027838,1111.5272595566082,11382.5425187691,11388.5425187691,11393.293075584468,LCDM
UGC04305_rotmod,156.55824569892013,162.55824569892013,165.83137305899507,4284047652.3676577,18.621969139057704,4801.7762106019945,351.52225977780085,359.52225977780085,363.8864295912341,11446.679736822658,11452.679736822658,11455.952864182733,Quaternionic
NGC0300_rotmod,874.6031538693079,880.6031538693079,884.2597813439126,32622606875.789032,19.89181065793791,4829.084216603978,776.9238638638309,784.9238638638309,789.7993671633037,9714.778667895627,9720.778667895627,9724.435295370231,LCDM
UGC04278_rotmod,620.2529473178952,626.2529473178952,629.9095747924998,14194289087.691334,19.58554172046363,5158.378194100277,738.6691545661995,746.6691545661995,751.5446578656723,3129.863272296232,3135.863272296232,3139.5198997708367,Quaternionic
NGC0289_rotmod,2384.967574652181,2390.967574652181,2394.964188182707,99957199249.09952,5.9602983771736255,4938.971833076595,152.6338868638922,160.6338868638922,165.962704904593,24307.301712636687,24313.301712636687,24317.298326167213,LCDM
NGC3893_rotmod,134.12967040426693,140.12967040426693,141.03742568324907,99188896443.61014,9.942870054950435,4877.793683598136,52.94956215531424,60.94956215531424,62.15990252729043,229.919519327011,235.919519327011,236.82727460599313,LCDM
UGC00128_rotmod,8368.225968426985,8374.225968426985,8377.49909578706,99990264963.39066,16.265089443745786,4945.337955650915,2828.1668857097334,2836.1668857097334,2840.5310555231667,712551.1032820778,712557.1032820778,712560.3764094379,LCDM
UGC06446_rotmod,142.53357977737093,148.53357977737093,151.0332198095396,27193974888.744553,19.39657603649309,5003.782660922862,136.89995411546664,144.89995411546664,148.23280749169152,3180.916198244928,3186.916198244928,3189.415838277097,LCDM
UGC09037_rotmod,868.5761690449899,874.5761690449899,877.8492964050648,99187500218.50725,19.900518543806403,5014.250653016701,646.0396715011825,654.0396715011825,658.4038413146158,4155.8347190007125,4161.8347190007125,4165.107846360787,LCDM
